pred_date,itemkind,price_pred,itemnm,kindnm
2021-09-17,팥-붉은 팥(국산)(1kg),11867.98743147275,팥,붉은 팥(국산)(1kg)
2021-09-18,팥-붉은 팥(국산)(1kg),11893.57496514307,팥,붉은 팥(국산)(1kg)
2021-09-19,팥-붉은 팥(국산)(1kg),11671.220807069114,팥,붉은 팥(국산)(1kg)
2021-09-20,팥-붉은 팥(국산)(1kg),11846.003373654592,팥,붉은 팥(국산)(1kg)
2021-09-21,팥-붉은 팥(국산)(1kg),11827.610731788123,팥,붉은 팥(국산)(1kg)
2021-09-22,팥-붉은 팥(국산)(1kg),11861.322496267918,팥,붉은 팥(국산)(1kg)
2021-09-23,팥-붉은 팥(국산)(1kg),11839.895942146835,팥,붉은 팥(국산)(1kg)
2021-09-24,팥-붉은 팥(국산)(1kg),11815.885328070939,팥,붉은 팥(국산)(1kg)
2021-09-25,팥-붉은 팥(국산)(1kg),11833.969379494652,팥,붉은 팥(국산)(1kg)
2021-09-26,팥-붉은 팥(국산)(1kg),11604.783556276603,팥,붉은 팥(국산)(1kg)
2021-09-27,팥-붉은 팥(국산)(1kg),11774.071192111865,팥,붉은 팥(국산)(1kg)
2021-09-28,팥-붉은 팥(국산)(1kg),11750.872232164424,팥,붉은 팥(국산)(1kg)
2021-09-29,팥-붉은 팥(국산)(1kg),11780.656688161225,팥,붉은 팥(국산)(1kg)
2021-09-30,팥-붉은 팥(국산)(1kg),11755.980642020893,팥,붉은 팥(국산)(1kg)
2021-10-01,팥-붉은 팥(국산)(1kg),11729.341038497992,팥,붉은 팥(국산)(1kg)
2021-10-02,팥-붉은 팥(국산)(1kg),11745.333750147112,팥,붉은 팥(국산)(1kg)
2021-10-03,팥-붉은 팥(국산)(1kg),11514.152844190497,팥,붉은 팥(국산)(1kg)
2021-10-04,팥-붉은 팥(국산)(1kg),11682.063326015059,팥,붉은 팥(국산)(1kg)
2021-10-05,팥-붉은 팥(국산)(1kg),11657.343856956224,팥,붉은 팥(국산)(1kg)
